Date,Open,High,Low,Close,Adj Close,Volume,Name
09-05-2019,242,243.679993,236.940002,241.979996,241.979996,6711400,TSLA
08-05-2019,201.899994,205.339996,201.75,202.899994,202.121628,26339500,AAPL
08-05-2019,1918.869995,1935.369995,1910,1917.77002,1917.77002,4078600,AMZN
08-05-2019,189.389999,190.720001,188.550003,189.539993,189.539993,12505700,FB
08-05-2019,1172.01001,1180.42395,1165.73999,1166.27002,1166.27002,1309300,GOOG
08-05-2019,367.920013,369,361.359985,364.369995,364.369995,6572000,NFLX
08-05-2019,246.940002,250.600006,244.199997,244.839996,244.839996,6176400,TSLA
07-05-2019,205.880005,207.419998,200.830002,202.860001,202.081787,38763700,AAPL
07-05-2019,1939.98999,1949.099976,1903.380005,1921,1921,5902100,AMZN
07-05-2019,192.539993,192.899994,187.850006,189.770004,189.770004,16253000,FB
07-05-2019,1180.469971,1190.439941,1161.040039,1174.099976,1174.099976,1551400,GOOG
07-05-2019,377,379.910004,365.809998,370.459991,370.459991,6974900,NFLX
07-05-2019,256.799988,257.209991,245.100006,247.059998,247.059998,10131400,TSLA
06-05-2019,204.289993,208.839996,203.5,208.479996,207.680222,32443100,AAPL
06-05-2019,1917.97998,1959,1910.5,1950.550049,1950.550049,5417800,AMZN
06-05-2019,191.240005,194.279999,190.550003,193.880005,193.880005,13994900,FB
06-05-2019,1166.26001,1190.849976,1166.26001,1189.390015,1189.390015,1563900,GOOG
06-05-2019,377.690002,381.350006,376,378.670013,378.670013,5793100,NFLX
06-05-2019,250.020004,258.350006,248.5,255.339996,255.339996,10833900,TSLA
03-05-2019,210.889999,211.839996,210.229996,211.75,210.937683,20892400,AAPL
03-05-2019,1949,1964.400024,1936,1962.459961,1962.459961,6381600,AMZN
03-05-2019,194.380005,196.160004,193.710007,195.470001,195.470001,14575400,FB
03-05-2019,1173.650024,1186.800049,1169,1185.400024,1185.400024,1980700,GOOG
03-05-2019,381.529999,385.029999,378.269989,385.029999,385.029999,5130300,NFLX
03-05-2019,243.860001,256.609985,243.490005,255.029999,255.029999,23706800,TSLA
02-05-2019,209.839996,212.649994,208.130005,209.149994,208.347656,31996300,AAPL
02-05-2019,1913.329956,1921.550049,1881.869995,1900.819946,1900.819946,3962900,AMZN
02-05-2019,193,194,189.75,192.529999,192.529999,13209500,FB
02-05-2019,1167.76001,1174.189941,1155.001953,1162.609985,1162.609985,1944800,GOOG
02-05-2019,378,383.5,374.51001,379.059998,379.059998,5398200,NFLX
02-05-2019,245.520004,247.130005,237.720001,244.100006,244.100006,18159300,TSLA
01-05-2019,209.880005,215.309998,209.229996,210.520004,209.712402,64827300,AAPL
01-05-2019,1933.089966,1943.640015,1910.550049,1911.52002,1911.52002,3117000,AMZN
01-05-2019,194.779999,196.179993,193.009995,193.029999,193.029999,15996600,FB
01-05-2019,1188.050049,1188.050049,1167.180054,1168.079956,1168.079956,2639200,GOOG
01-05-2019,374,385.98999,373.170013,378.809998,378.809998,9257300,NFLX
01-05-2019,238.850006,240,231.5,234.009995,234.009995,10704400,TSLA
30-04-2019,203.059998,203.399994,199.110001,200.669998,199.900192,46534900,AAPL
30-04-2019,1930.099976,1935.709961,1906.949951,1926.52002,1926.52002,3506000,AMZN
30-04-2019,194.190002,197.389999,192.279999,193.399994,193.399994,23494700,FB
30-04-2019,1185,1192.810059,1175,1188.47998,1188.47998,6207000,GOOG
30-04-2019,369.559998,374.5,368.350006,370.540009,370.540009,3870100,NFLX
30-04-2019,242.059998,244.210007,237,238.690002,238.690002,9464600,TSLA
29-04-2019,204.399994,205.970001,203.860001,204.610001,203.825073,22204700,AAPL
29-04-2019,1949,1956.339966,1934.089966,1938.430054,1938.430054,4021300,AMZN
29-04-2019,190.949997,195.410004,190.649994,194.779999,194.779999,19641300,FB
29-04-2019,1274,1289.27002,1266.295044,1287.579956,1287.579956,2499400,GOOG
29-04-2019,373.679993,374.579987,369.119995,371.829987,371.829987,3821700,NFLX
29-04-2019,235.860001,243.979996,232.169998,241.470001,241.470001,16714500,TSLA
26-04-2019,204.899994,205,202.119995,204.300003,203.516266,18649100,AAPL
26-04-2019,1929,1951,1898,1950.630005,1950.630005,8432600,AMZN
